Car Index,Station Index,Arrival Time,,,,Velocity,Position
3,2,943.1243252,,,,1.846297259,10.97534225
3,3,957.3580061,,,,1.868801437,37.90733444
3,4,972.7342026,,,,1.788896237,62.17858295
3,5,986.6053624,,,,2.072645708,86.25
3,6,999.482251,,,,2.232682216,115
4,2,2.339872931,,,,2.457398401,23
4,3,15.13227931,,,,2.130610829,52.68351568
4,4,30.03878197,,,,1.924849387,81.58401184
4,5,41.79211389,,,,2.505009185,108.6903231
4,6,56.9111186,,,,2.022648855,140.2442964
4,7,78.33569316,,,,1.940906643,168.4285061
4,8,91.41602629,,,,2.587132465,193.9668044
4,1,104.6074927,,,,2.04460382,227.465695
4,2,117.8501402,,,,2.316998042,22.62417468
4,3,132.7748787,,,,2.148873896,55.79276255
4,4,148.0889261,,,,2.093784918,84.09045947
4,5,163.2716833,,,,2.685435143,112.2833763
4,6,178.094616,,,,1.78795823,138.7926921
4,7,191.6688641,,,,2.874009284,164.73411
4,8,203.7395521,,,,2.136577273,196.3082331
4,1,218.4263124,,,,2.073437128,229.0820422
4,2,232.1295639,,,,2.608728363,16.75273638
4,3,246.7855373,,,,2.661234439,48.35637915
4,4,259.2868838,,,,3.037158708,77.00719849
4,5,272.6899652,,,,3.355272999,110.303968
4,6,286.9538417,,,,2.8673761,140.175164
4,7,300.0044124,,,,2.443508281,169.3198176
4,8,316.2157821,,,,2.75443849,193.4507288
4,1,327.7809788,,,,3.153047262,226.9399125
4,2,342.3951807,,,,2.58992125,22.82092813
4,3,359.3247416,,,,3.439488857,50.69128698
4,4,377.8556908,,,,2.233968325,84.75296174
4,5,392.8786995,,,,2.843894325,112.3437379
4,6,405.1059465,,,,3.173005286,141.9017266
4,1,420.6672628,,,,2.692007008,172.5
4,2,438.445551,,,,2.108121295,201.25
4,1,453.0261315,,,,2.374834338,0
4,4,468.0280413,,,,1.907465822,28.75
4,5,484.1180192,,,,1.597967888,57.5
4,6,498.5739618,,,,2.141064318,86.25
4,5,514.2005859,,,,2.24934704,103.9038779
4,6,528.2305955,,,,2.119147319,143.75
4,7,541.8736661,,,,2.209424012,162.0897275
4,8,555.58338,,,,1.869108175,195.4437587
4,2,571.1189039,,,,1.765847087,0
4,2,586.6443563,,,,2.51883314,28.75
4,4,600.3620619,,,,1.772611203,57.5
4,4,615.4018977,,,,2.133945733,78.00298083
4,5,629.4246509,,,,1.988403655,112.5551825
4,6,643.2564219,,,,2.058776221,143.75
4,7,658.207877,,,,2.610726478,167.0714316
4,8,671.8008105,,,,2.722106119,192.6768824
4,2,688.148352,,,,1.953377755,0
4,3,708.0944529,,,,2.039926446,28.75
4,3,722.3469115,,,,2.227163894,48.48523927
4,4,736.1875386,,,,1.512006571,81.04137147
4,5,751.700109,,,,2.172016484,112.3790181
4,6,765.2289769,,,,1.551232712,138.288456
