Car Index,Station Index,Arrival Time,,,,Position,Velocity
5,3,745.0637796,,,,78.57266632,2.399205743
5,4,761.5790166,,,,109.5470705,2.056410197
5,5,775.9818853,,,,133.8438009,2.107436339
5,6,788.471046,,,,161.6051715,2.538432293
5,7,804.8258902,,,,188.2659029,2.01852151
5,8,818.2556437,,,,229.904627,1.93980371
5,2,832.2201901,,,,28.75,2.34021157
5,3,847.0174097,,,,57.5,3.139481386
5,3,861.8903653,,,,79.76613508,2.542305793
5,4,875.7665396,,,,108.7259854,2.256478476
5,6,890.9570724,,,,143.75,2.374958137
5,6,905.1404411,,,,168.002096,2.684764552
5,7,920.4728255,,,,196.6208438,2.610618577
5,8,934.8667059,,,,229.6629226,1.827796062
5,1,950.7912719,,,,14.60543881,2.681736924
5,2,968.9548314,,,,46.57766972,2.145107812
5,3,981.9395829,,,,73.96779855,2.209772984
5,4,996.20252,,,,105.9850769,1.793439234
6,2,8.560853265,,,,50.1511938,2.373876803
6,3,23.53597229,,,,76.95880759,1.967512294
6,4,36.30825803,,,,106.146046,2.424411077
6,5,50.78092973,,,,137.5066545,1.513187676
6,6,64.74735847,,,,163.3470684,2.119414674
6,7,77.66951633,,,,196.0753981,2.187086716
6,8,90.93297136,,,,229.1759113,2.248548699
6,1,106.7423461,,,,21.18710898,2.417639363
6,2,121.0909616,,,,48.50346286,2.018021542
6,4,135.8963825,,,,86.25,2.213885518
6,5,151.3404911,,,,115,2.322076086
6,5,168.8471814,,,,138.2607552,2.069783302
6,6,190.1308717,,,,164.6099614,1.459211286
6,7,204.9189914,,,,183.6224663,2.39301509
6,8,232.9911002,,,,229.9823543,0.765469624
6,1,238.4430768,,,,0,5.273316892
6,2,255.4622862,,,,28.75,1.689267655
6,3,271.1664601,,,,57.5,1.830723484
6,4,282.3535078,,,,86.25,2.569936302
6,5,295.6596011,,,,116.7085088,2.218640804
6,6,306.7042479,,,,151.0189972,2.932465974
6,7,319.8641685,,,,190.6962865,2.37458832
6,1,332.9071214,,,,0,1.942335213
6,1,350.2643596,,,,24.09899518,2.34135313
6,2,365.5040539,,,,51.05131263,2.295232712
6,3,379.2702703,,,,79.79617225,2.954405276
6,4,397.317315,,,,110.6532601,2.428438112
6,5,414.458013,,,,139.6753559,1.303345173
6,6,429.7771261,,,,160.2751607,1.829335429
6,7,444.0294509,,,,188.7350291,1.882709468
6,8,458.232079,,,,229.3706343,1.795587312
6,1,474.2359888,,,,23.42561645,1.206553101
6,2,485.9750886,,,,52.085719,2.300651031
6,4,501.596099,,,,86.25,2.422338628
6,4,515.9356032,,,,107.1823166,2.149018468
6,5,530.1875596,,,,138.4429697,1.694551647
6,6,547.2820247,,,,164.9954252,1.804693979
6,7,560.7182552,,,,192.9811115,2.705465478
6,8,575.7494923,,,,228.4524405,2.600227343
6,1,590.548632,,,,21.93369445,2.131115916
6,2,611.4639572,,,,49.00853679,1.019476911
6,3,624.8825665,,,,79.7305936,1.830134944
6,4,638.7331721,,,,106.3938415,2.41368845
6,5,656.1539174,,,,132.2739612,1.984211082
6,6,670.9275626,,,,164.6064942,2.392315846
