Car_1_Station,Car_1_ArrivalTime,Car_2_Station,Car_2_ArrivalTime,Car_3_Station,Car_3_ArrivalTime,Car_4_Station,Car_4_ArrivalTime,Car_5_Station,Car_5_ArrivalTime,Car_6_Station,Car_6_ArrivalTime,Car_7_Station,Car_7_ArrivalTime,Car_8_Station,Car_8_ArrivalTime,Car_9_Station,Car_9_ArrivalTime,Car_10_Station,Car_10_ArrivalTime,Car_11_Station,Car_11_ArrivalTime,Car_12_Station,Car_12_ArrivalTime,Car_13_Station,Car_13_ArrivalTime,Car_14_Station,Car_14_ArrivalTime,Car_15_Station,Car_15_ArrivalTime,Car_16_Station,Car_16_ArrivalTime,Car_17_Station,Car_17_ArrivalTime,Car_18_Station,Car_18_ArrivalTime,Car_19_Station,Car_19_ArrivalTime,Car_20_Station,Car_20_ArrivalTime,Car_21_Station,Car_21_ArrivalTime,Car_22_Station,Car_22_ArrivalTime,Car_23_Station,Car_23_ArrivalTime,Car_24_Station,Car_24_ArrivalTime,Car_25_Station,Car_25_ArrivalTime,Car_26_Station,Car_26_ArrivalTime,Car_27_Station,Car_27_ArrivalTime,Car_28_Station,Car_28_ArrivalTime,Car_29_Station,Car_29_ArrivalTime,Car_30_Station,Car_30_ArrivalTime
4,465.8,4,462.6,4,458.9,4,455.3,4,452.1,4,448.7,5,458.2,5,454.7,5,451.3,5,447.9,5,444.3,6,453.9,6,450.4,6,446.8,6,443.3,6,439.9,6,436.2,7,446.4,7,442.8,7,439,7,435.6,7,432.1,8,442.1,8,438.5,8,435.4,8,432,8,428.3,1,437.9,1,434.4,1,431.6
5,478.5,5,474.7,5,471.2,5,467.9,5,464.8,5,461.3,6,471,6,467.2,6,463.5,6,460.1,6,457.1,7,466.1,7,462.7,7,459.6,7,456.2,7,452.9,7,449.6,8,458.9,8,455.3,8,452.2,8,449,8,445.5,1,455,1,451.4,1,448.2,1,444.5,1,441,2,451,2,447.4,2,444
6,491.1,6,487.8,6,484.2,6,481,6,478,6,474.2,7,483.3,7,479.8,7,476.4,7,472.6,7,469.2,8,478.8,8,475.8,8,472.7,8,469.4,8,465.8,8,462.2,1,472,1,468.6,1,465.1,1,461.4,1,458.3,2,468.2,2,464.5,2,461,2,456.7,2,454.1,3,463.7,3,460,3,456.5
7,504,7,500.3,7,496.7,7,492.9,7,489.9,7,486.7,8,496.4,8,493,8,489.5,8,486,8,482.6,1,492.7,1,489.3,1,485.9,1,482.4,1,478.7,1,475.5,2,484.9,2,481,2,477.9,2,474.6,2,471.5,3,480.6,3,477.4,3,474,3,470.6,3,467.1,4,476.3,4,473,4,469.3
8,517,8,513.4,8,509.9,8,506.3,8,502.4,8,499.3,1,510.1,1,506.8,1,503.1,1,499.7,1,496.3,2,505.6,2,502.3,2,498.8,2,495.2,2,491.8,2,488.1,3,497.7,3,494.5,3,491.3,3,487.8,3,484.2,4,492.8,4,489.3,4,486.8,4,482.9,4,479.8,5,488.6,5,485.1,5,481.8
1,530.6,1,527.2,1,523.6,1,520,1,516.6,1,513.3,2,523.1,2,519.6,2,516.1,2,512.6,2,509.1,3,517.8,3,514.5,3,511,3,507.5,3,504.3,3,501.1,4,510.4,4,507,4,503.3,4,499.7,4,496.4,5,505.9,5,502.4,5,499.2,5,495.5,5,492.2,6,501.3,6,497.8,6,494.5
2,543.1,2,540,2,536.7,2,533.2,2,529.8,2,526.4,3,534.8,3,531.4,3,528.2,3,524.8,3,521.4,4,531.1,4,527.6,4,524,4,520.4,4,516.9,4,513.6,5,522.4,5,519.2,5,516,5,512.2,5,509.1,6,517.7,6,514.6,6,511.2,6,508.1,6,504.9,7,514.5,7,510.9,7,507.6
3,555.6,3,552.1,3,548.9,3,545.4,3,541.4,3,538,4,548,4,544.6,4,541.2,4,537.8,4,534.3,5,543.7,5,539.9,5,536.3,5,532.8,5,529.4,5,526,6,535.3,6,532.1,6,528.8,6,525,6,521.3,7,531.5,7,528.2,7,524.7,7,521.1,7,517.7,8,527,8,523.8,8,520.7
4,567.8,4,564.8,4,561,4,557.9,4,554.6,4,550.9,5,560.3,5,557,5,553.4,5,550.1,5,546.8,6,555.8,6,552.2,6,549,6,545.8,6,542.1,6,539.1,7,548.1,7,544.7,7,541.7,7,538.1,7,534.8,8,544.1,8,540.8,8,537.2,8,534,8,530.5,1,540.8,1,537.5,1,534.1
5,580.7,5,577.1,5,573.7,5,570.5,5,567,5,563.7,6,572.7,6,569.1,6,565.7,6,562.5,6,558.9,7,568.8,7,565.4,7,561.8,7,558.4,7,554.7,7,551.4,8,561.7,8,558.5,8,555.2,8,551.2,8,547.5,1,557.7,1,554.3,1,550.9,1,547.6,1,544.3,2,553.5,2,550,2,546.7
